original_text,decoded_text
반품,
BALANCE,BALANCE
예방,방
"(0%),","(0%),"
"정제어유,","정제어유,"
0g,0g
경우,경우
및,
서늘한,서한
기준치에,기에
:,:
함유,유
섭취하십,하
과량섭,과
17g,17g
하여,하
오렌지,오지
피해,해
강남구,남구
4.0,4.0
바이오밸리3로,이오리3로
하시기,하시기
영양,
주의사항],주의사]
(60g),(60g)
개봉,개
오송생명로,오생로
유통하,유하
내포장재질,내장재
고시,고시
실온에서,에서
섭취하여,하
후,
어린이의,어이의
질병의,의
어린이의,어이의
주의하여,주의하
1포(1.5g)씩,1(1.5g)
및,
섭취방,방
특이체,이
마도면,마도면
복합물],]
:,:
"염산염,",","
물과,과
1일,1일
GUT,GUT
혈행,행
수,수
함께,
확인,인
있으므로,있으로
"새우,","우,"
및,
※,
레르기,기
비율,비
/,/
의약품,의
유통기한,유기한
시오.,시오.
섭취량,
가능,가
섭취량,
소비자분쟁해결,소비자해
있음,있
많은,많은
분은,은
213448,213448
사용한,사한
"귀리식이섬유,","리식이유,"
제품은,제은
"임산부,","부,"
의약품이,의이
(호,(
"글리세린,","리,"
"275,","275,"
발생될,생
주의사항,주의사
건강,
15kcal,15kcal
바랍니다.,니다.
따라,라
"1,000mg","1,000mg"
섭취를,를
■,■
신고는,신고는
합분말,
트루락,트
35mg,35mg
"말,",","
섭취하시기,하시기
"오징어,","오어,"
고온다습한,고다한
"매실농축액,",","
9mg,9mg
수,수
성분을,성을
잔류용매,
[보관방법],[보방]
비율임,비
"항혈소판제,","소제,"
줄,
개봉,개
호(제품하단,(제하단
함께,
에너지,에지
돼지,지
보관,보
및,
[비타민C],[비민C]
프로폴리스,로리스
"s),","s),"
32g,32g
건강,
의거,의
1정(900mg),1정(900mg)
(900mg),(900mg)
괘방령로,방로
8,8
수,수
단백질,단
"모,",","
비타민,비민
뼈와,와
제품은,제은
(감미료),(미)
"호두,",","
경우는,경우는
0%,0%
흡수에,수에
비타민,비민
섭취방법,방
IN,IN
나타날,나
제품은,제은
[섭취,[
"특이체질,","이,"
"말토덱스트린,","토스트,"
|,|
"호두,",","
폴리에틸렌(PE),리에(PE)
100%,100%
혈압강하제,하제
곳에,에
건강,
씨유,유
브라질,라
"엽산,",","
mg),mg)
비타민D,비민D
유용한,유한
데우시기,우시기
5kcal,5kcal
117,117
있으니,있으니
르기,기
따라,라
·,·
폴리에틸렌(PE),리에(PE)
유산균,유
Lactobacillus,Lactobacillus
신고는,신고는
직사,사
1회,1
수,수
비타민B2,비민B2
반품,
HANAMI,HANAMI
※,
1회,1
[비타민D],[비민D]
의약품,의
*,*
전,전
하여,하
상의,상의
수,수
제품은,제은
식품의약품안전처,식의안전
"우유,","우유,"
INSA,INSA
건조효모(몰리브,(리
염화칼슘,화
바랍니다.,니다.
예방,방
발생할,생할
[보관,[보
로,로
바랍니다.,니다.
종이,이
–,–
사례,사
나트륨,나트
전문가와,전문가와
[자몽추출물등,[자
함량,
"비타민B1,","비민B1,"
이후,이
아연,아연
비타민,비민
또는,는
있습니다.,있니다.
【소비자상담실】,소비자상
"비타민E,","비민E,"
골다공증발,다공
수,수
금천구,천구
본,
"메밀,",","
0g,0g
후,
건강,
글루콘산,
원명로,원로
예방,방
105459,105459
14개입],14개]
우먼,우
충청북도,도
대한,대한
전,전
2023.02.11,2023.02.11
등의,의
예방,방
[비,[비
하십시오.,하시오.
110%,110%
도움을,도을
204566,204566
올리고당,리고
"위장장애,","위장장,"
"치커리추출물분말,","리,"
※,
없으므,으
공정거래,공정
수,수
충분한,한
않는,는
"리드(PE),","리드(PE),"
엄선된,선
:,:
용기에,기에
1600-3865,1600-3865
미네랄,미
있는,있는
900mg,900mg
쎈,
있,있
루테인,인
809425,809425
"1회,","1,"
"토마토,","토마토,"
플러스,스
"항혈소판제,","소제,"
※,
오메가-3,오가-3
물과,과
송악읍,
제품은,제은
Traceability,Traceability
/,/
조,
사례,사
대두발효분말},대}
■,■
"필요,","요,"
줄,
[원료명,[원
수분,수
%,%
열량,
·,·
호,
건강기능식품,기식
충남,남
:,:
·,·
0g,0g
있습니다.,있니다.
목에,에
받을,을
고시,고시
보관하십시,보하시
이용하는,이하는
공식,공식
오송생명로,오생로
1길,1
단백질,단
함유,유
(210g),(210g)
136,136
보관하십시오.,보하시오.
·,·
상큼자몽,상자
수,수
1일,1일
비타민D3혼합,비민D3
유통기한,유기한
를,를
보관하십시오.,보하시오.
어유,어유
곳을,을
제품은,제은
설에서,에서
"혼합추출물,",","
"지방,","지방,"
·,·
경기도,경기도
섭취,
섭취하십시오.,하시오.
DHA,DHA
들은,들은
질병,
임산부,부
합성향료,성
영양,
반품,
:,:
않는,는
"비타민B6,","비민B6,"
보관,보
1577-2488,1577-2488
소비자상담실,소비자상
데,
제천시,제천시
차단하여,차단하
후에는,에는
섭취량,
CERA,CERA
제조하니까!,제하니!
1회,1
·,·
효소,소
[마그네슘],[마그]
"포함),","),"
7종,7
정상적인,정상적인
뼈의,의
권장,장
"비타민B2,","비민B2,"
만들어,만들어
건강기능식품,기식
SCIENCE,SCIENCE
비타민B2,비민B2
시,시
영향을,을
필요,요
섭취량,
:,:
·,·
"땅콩,",","
병의,의
"토마토,","토마토,"
원료명,원
·,·
L-이소로이신),L-이소로이신)
및,
"한함),","한),"
"토,","토,"
늘한,한
비타민B1,비민B1
주류에,주에
※,
방배로,방로
보관,보
이력추적관,이적
"펙틴,",","
500의,500의
5.,5.
정상으로,정상으로
8061,8061
0mg,0mg
전문가와,전문가와
밀크씨슬추출물을,을
제천시,제천시
나트륨,나트
"땅콩,",","
섭취하,하
mg[L-Leucine,mg[L-Leucine
있습니다.,있니다.
31%,31%
진해지거나,진해지나
"0g(0%),","0g(0%),"
보관,보
교환,교
형성과,성과
생성에,생성에
성인,성인
함량,
"1회,","1,"
"(장항동,","(장동,"
섭취하십시오.,하시오.
관악로1,로1
MULTI,MULTI
PP,PP
1.2mg,1.2mg
함량],]
"0kcal,","0kcal,"
"우데(세네갈산),","우(),"
필요,요
보관,보
1일,1일
[원료,[원
의약품이,의이
1일,1일
고카페인,고인
69%,69%
36g,36g
경우에는,경우에는
1일,1일
유통기한,유기한
식품의,식의
태에,에
섭취방법],방]
사용한,사한
눈건강엔,
CON's,CON's
있,있
후,
"수유부,","수유부,"
"4.0X1011cfu/g),","4.0X1011cfu/g),"
품목보고번호,보고
곳에,에
및,
상담,상
아니하는,아니하는
및,
및,
(60g),(60g)
·,·
"필요,","요,"
X,X
[섭취,[
위해,위해
유지에,유지에
줄,
:,:
에너지,에지
건강에,에
섭취시켜,시
퍼멘덤,
기준치,기
제품은,제은
[보관방법],[보방]
"L-시스틴,","L-시스,"
스틱,스
"완충비닐),","비),"
비율,비
30일분,30일
홍합,
반응이,이
복용,
에,에
※,
피하여,하
교환,교
수,수
물,
섭취하십시오.,하시오.
적응을,적을
제조하고,제하고
수치는,수는
있으므로,있으로
"7kcal,","7kcal,"
"국내산),","국내),"
제품설명서를,제서를
4,4
B1,B1
본,
※,
"밀납,",","
늘한,한
있습니다.,있니다.
섭취,
신고는,신고는
류(,(
확인하십시오.,인하시오.
열량에,에
직사광선,사선
상피세포의,상의
유통기한,유기한
영양정보,정보
·,·
물과,과
있음,있
손이,이
약물,
자세한,자한
필요,요
건강에,에
자세한,자한
의약품이,의이
0mg,0mg
오손된,오
제조번호,제
"질경이,","경이,"
제품은,제은
보상,보상
섭취하십시오.,하시오.
제,제
비타민D,비민D
소비자분쟁해,소비자해
·,·
-,-
"[유청분말(체코,","[유(,"
60정),60정)
:,:
비타민C,비민C
"구연산삼나트륨,","구연나트,"
시설에서,시에서
FARM,FARM
5mg,5mg
바랍니다.,니다.
(주)펄세스,(주)스
거두단지2길,단지2
1포를,1를
상담실],상]
·,·
"변질,",","
전,전
본,
직사광선을,사선을
[650mg,[650mg
건강기능식품,기식
발생,생
시오.,시오.
안에,안에
및,
내포장재질,내장재
보상,보상
[영국산,[국
응집,
및,
"3,500mg","3,500mg"
반품,
및,
만약,만
함유,유
함량,
교환,교
"돼지고기,","지고기,"
비타민B1,비민B1
"사과산,","사과,"
건조한,한
보상,보상
"필요,","요,"
및,
"유산균배양건조물,","유,"
판매원,원
시,시
반품],]
않는,는
물과,과
&,&
작용을,을
*제품과,*제과
[보관방법],[보방]
체내,내
배변,
용기에,기에
후,
피,
받을,을
비타민D,비민D
비오틴,비오
신고는,신고는
제품은,제은
열량,
원활에,원에
3.5g,3.5g
1%,1%
·,·
Rg1+Rb1+Rg3,Rg1+Rb1+Rg3
내포장재질,내장재
어린이가,어이가
제품과,제과
:,:
1577-2488,1577-2488
"(비타민B12,","(비민B12,"
및,
고유,고유
실온에서,에서
4g,4g
■,■
080-517-4241,080-517-4241
10㎍,10μg
유산균,유
수,수
"필요,","요,"
[섭취,[
및,
기능,기
수,수
서울특별시,서시
"195,","195,"
"락티스,","스,"
/,/
후에는,에는
골다공증,다공
(고형분,(고
품의,의
함께,
:,:
질병의,의
혈행,행
0.40,0.40
제품,제
X,X
수,수
잘못된,
아닌,아
제품은,제은
및,
/,/
백복령분말(중국산),(중국)
도움을,도을
60캡슐(30g),60(30g)
0g,0g
카복시메틸셀룰,시
미니케이스,미니이스
취급,
중심시력을,중시을
시,시
※,
해,해
가급적,가적
이상,이상
취,
·,·
보관하십시오.,보하시오.
"우유,","우유,"
/,/
을,을
"말토덱스트린,","토스트,"
밀,
데일리캡,일리
건강기능식품,기식
의약품이,의이
안의,안의
보관하십시오.,보하시오.
·,·
·,·
유통기,유기
따라,라
"구연산),","구연),"
영양성분,성
의거,의
들수록,들수
블랙,
"지방,","지방,"
제품은,제은
"3회,","3,"
판토텐산,토
·,·
■,■
또는,는
홍합,
이,이
이,이
"메밀,",","
28%,28%
또는,는
5.03,5.03
함량】,
[밀크씨슬추출물],[]
시,시
밸런스,스
건강에,에
2009111,2009111
1577-2488,1577-2488
본,
내용물이,내이
오송읍,오
유산균,유
면역력,면
교환처,교
예방,방
로제트,로제트
대한,대한
을,을
유통기한,유기한
및,
3가지,3가지
"생선콜라겐,","생선라,"
:,:
섭취량,
라이틀리,라이리
0%,0%
[LOT,[LOT
건강,
또는,는
바랍니다.,니다.
은,은
수,수
있습니다.,있니다.
포함).,).
유통기한,유기한
수,수
경우,경우
"토마토,","토마토,"
성분을,성을
섭취,
0g,0g
4kcal,4kcal
ORIGIN,ORIGIN
·,·
수,수
까지,지
발생할,생할
원료명을,원을
0%,0%
있는,있는
안,안
이하는,이하는
4.,4.
"것,","것,"
1g,1g
"바라며,","라,"
개봉,개
섭취,
있으신,있으신
V:nergy,V:nergy
노화로,화로
크시티3),시3)
의약품이,의이
삼원빌딩,원
베지터블,지
지,지
오손된,오
질병,
:,:
8,8
CJ제일제당의,CJ제일제의
유익균,유
창동로,동로
/,/
"물분말,",","
의약품이,의이
상태로,상로
잘,
교환처,교
160%,160%
적고,적고
수,수
대사에,대사에
·,·
수,수
원활에,원에
"젖산,",","
있으니,있으니
2정을,2정을
제조시설에서,제시에서
생길,생
-,-
본,
제조하고,제하고
포장재에,장재에
현상이,현상이
%영영성분기준치,%성기
"제이인산칼슘),","제이인),"
탄수화물과,수화과
섭취방법을,방을
"글루콘산동,","동,"
섭취량,
수,수
유지에,유지에
이상,이상
EPA와,EPA와
수,수
드십시오.,드시오.
내포장재질,내장재
구입처,구
자몽향분말,자
상담,상
아연,아연
까지),지)
1일,1일
제조원,제원
함량,
손이,이
기능식품,기식
수,수
의약품,의
"38.5㎍(70%),","38.5μg(70%),"
닿지,지
제품은,제은
늘,
16,16
관리번호,리
체내,내
대한,대한
:,:
교환장소,교장소
대사에,대사에
기능정보,기정보
도움을,도을
"특이체질,","이,"
809736,809736
나트륨,나트
"구기자,","구기자,"
"우유,","우유,"
"두,",","
지방,지방
후,
효령로,로
불량식품,식
탄수화물,수화
포함)를,)를
봉,
충청북도,도
액생성에,생성에
1일,1일
/,/
대한,대한
(500mg)을,(500mg)을
"백복령(중국산)},","(중국)},"
"비타민B1질산염,","비민B1,"
충분한,한
함께,
주의사항,주의사
"의거,","의,"
예방,방
1회,1
개선에,개선에
animalis,animalis
또한,한
0%,0%
총,
"74,","74,"
비타민B6,비민B6
수,수
혈액,
바랍니다.,니다.
보관하십시오.,보하시오.
섭취방법],방]
중단하고,중단하고
저하되거나,저하나
시,시
있습니다.,있니다.
섭취량,
수,수
·,·
"쇠고기,","고기,"
-,-
"니코틴산아미드,","니아미드,"
79,79
Traceability,Traceability
향을,을
개선에,개선에
아니며,아니
는데,는
및,
자세한,자한
L-아르지닌,L-아지
구입처,구
제조,제
함량,
식품의약품안전처,식의안전
8g,8g
"필요,","요,"
전,전
"임산부,","부,"
아이시안,아이시안
및,
시,시
유용한,유한
있습니다.,있니다.
"수,","수,"
"젤라틴(돈피),","라(),"
"쇠고기,","고기,"
"α-아밀라아제,","α-아라아제,"
특정,정
까지,지
30,30
함유,유
홍합,
"7.5mg/g,","7.5mg/g,"
곳과,과
"혼합분말,",","
따라,라
확인하실,인하
"망고향키베이스,","고이스,"
고객상담실,고상
·,·
"115,","115,"
단백질,단
적고,적고
본,
비타민D,비민D
제품설명서를,제서를
"귀리식이섬유,","리식이유,"
"0g(0%),","0g(0%),"
환불,
"대두,","대,"
청원구,원구
15772488,15772488
고객센터,고
1899-3000,1899-3000
함께,
1회,1
홍합,
포함)를,)를
제품과,제과
및,
함유,유
시,시
질병의,의
가공유지(야자경화,가공유지(야자경화
영양소를,소를
제조,제
캐나다산),나다)
질병의,의
있으므로,있으로
전,전
제조하고,제하고
서울,서
수,수
습기가,기가
정보를,정보를
함유,유
등록번호,
1일,1일
있으므로,있으로
제품,제
본,
담실로,로
적응을,적을
[비타민B6],[비민B6]
Traceability,Traceability
0mg,0mg
기능유지에,기유지에
씹어서,어서
과도한,과도한
곳을,을
후,
비타민E,비민E
1377,1377
본(BONE)케어,(BONE)어
주의하시기,주의하시기
bacillus,bacillus
보호,보
기능정보,기정보
"달걀,",","
"구연산),","구연),"
에,에
까지,지
본,
후,
:,:
헤스페리딘,스리
"1.5mg(100%),","1.5mg(100%),"
1일,1일
생활을,생을
[유통기한],[유기한]
균주,주
작용을,을
/,/
cillus,cillus
밀크씨슬추출물,
충북,
해결,해
도,도
주의사항],주의사]
"설사,","사,"
H20099601,H20099601
불만족으로,만으로
입에,에
물과,과
않도록,도
"필요,","요,"
까지,지
:,:
섭취를,를
고객상담실,고상
·,·
밀,
지방으로,지방으로
"하오니,","하오니,"
코어,어
건강에,에
8%,8%
수,수
등의,의
임산부의,부의
"필요,","요,"
250ml에,250ml에
"L-카르니틴,","L-니,"
상담이,상이
있습니다,있니다
있거나,있나
트랜스지방,트스지방
0mg,0mg
대한,대한
"0g(0%),","0g(0%),"
+,+
직사광선을,사선을
"원하시면,","원하시면,"
4.,4.
"전복,","전,"
고는,고는
:,:
"아황산류,","아,"
하여,하
부작용,부
"기,","기,"
·,·
발생,생
Traceability,Traceability
의해,의해
"영·유아,","·유아,"
"영지버섯,","지,"
1일,1일
함유,유
강남구,남구
제조하고,제하고
후,
본,
"약하니,","하니,"
:,:
있습니다.,있니다.
■,■
long,long
:,:
개선에,개선에
시설에서,시에서
쇠,
사용한,사한
섭취하십시오.,하시오.
까지,지
0%,0%
곳을,을
:,:
"않으나,","으나,"
"lactis,","lactis,"
기한,기한
섭취하십시오.,하시오.
유통기한,유기한
·,·
함량,
제천시,제천시
함량,
고객상담실로,고상로
"밀납,",","
D,D
질병치료나,나
"필요,","요,"
있을,있을
본,
시설에서,시에서
"정제수,","정제수,"
섭취량,
가산디지털2로,가지2로
작용을,을
수,수
기준에,기에
Traceability,Traceability
단백질,단
"(1,500mg","(1,500mg"
이노시톨,이시
음료에,에
TH,TH
[보관방법],[보방]
치료를,를
2),2)
비타민D,비민D
아연30,아연30
직사광선,사선
시,시
제품이,제이
함량,
경과된,경과
:,:
"호두,",","
냉,
우,우
"복숭아,","아,"
비타민B1,비민B1
:,:
필요.,요.
"리세린,","리,"
함유,유
1캡슐(150mg),1(150mg)
"전복,","전,"
특정,정
3%,3%
영양공급이,공이
1일,1일
민감한,민한
제조번호,제
상,상
단백질,단
및,
당,
제품명,제
"특정질환,","정,"
"L-로이신,","L-로이신,"
설명서,서
·,·
원료,원
유통기한이,유기한이
[아연],[아연]
및,
1포를,1를
[소비자상담실],[소비자상]
및,
병원,원
환불받을,을
홍합,
NON,NON
·,·
LOT,LOT
기능성을,기성을
흡습이,이
"일,","일,"
·,·
"젤란검,",","
곳에서,에서
기억력,기
"아니며,","아니,"
확인,인
중단하십시오.,중단하시오.
아연,아연
는,는
75μg,75μg
않는,는
"세린,",","
원남면,원남면
밀크씨슬추출물,
장건강에,장에
"홍합),","),"
그리고,그리고
간,
성남,성남
"젤라틴,","라,"
질병의,의
·,·
/,/
유통기한,유기한
