original_text,decoded_text
있습니다.,있습니다.
"나이아신,","나이아신,"
버스트,버스트
밀크씨슬,밀크씨슬
습니다.,습니다.
1일,1일
청주시,청주시
GIFT,GIFT
실온에,실온에
까지,까지
"L-로이신,","L-로이신,"
품질을,품질을
가공한,가공한
Rg3의,Rg3의
보관하십시오.,보관하십시오.
이상,이상
F,F
"새우,","새우,"
1544-6335,1544-6335
손이,손이
세트,세트
제품과,제품과
809425,809425
이상사례,이상사례
:,:
보관방법,보관방법
오송생명로,오송생명로
침침,침침
겨질,겨질
3482832/T5,3482832/T5
피로개선,피로개선
이상,이상
2.,2.
전문가와,전문가와
색소,색소
정관장,정관장
영양성분기준치,영양성분기준치
"조개류(굴,","조개류(굴,"
고시,고시
GMP,GMP
원,원
시,시
805915,805915
()안,()안
브라이트,브라이트
기능,기능
"말,","말,"
시,시
www.tfood.go.kr에서,www.tfood.go.kr에서
"알류,","알류,"
1013,1013
내용물이,내용물이
질병의,질병의
·,·
[소비자상담실],[소비자상담실]
2023.09.07,2023.09.07
호르몬의,호르몬의
모든,모든
돼지,돼지
건강기능식품의,건강기능식품의
·,·
(60g),(60g)
또는,또는
"복숭아,","복숭아,"
수,수
제조번호,제조번호
을,을
·,·
"토마토,","토마토,"
:,:
0%,0%
같은,같은
또는,또는
Amway,Amway
마포구,마포구
취하십시오.,취하십시오.
[보관,[보관
기능성을,기능성을
"염화칼륨),","염화칼륨),"
"새우,","새우,"
"땅콩,","땅콩,"
[나이아신],[나이아신]
(주)휴럼,(주)휴럼
직사광선을,직사광선을
"덱스트린,","덱스트린,"
탄수화,탄수화
도움을,도움을
:,:
(주)노바렉스,(주)노바렉스
특정,특정
한,한
함량],함량]
시크릿,시크릿
중성지질,중성지질
드시지,드시지
노출되면,노출되면
아연,아연
열량,열량
[반품,[반품
·,·
중단하고,중단하고
"알류(가금류),","알류(가금류),"
필요,필요
구입,구입
헤스페리딘,헤스페리딘
금하십시오.,금하십시오.
합,합
비타민B12,비타민B12
1,1
"새우,","새우,"
"규소],","규소],"
"특이체질,","특이체질,"
판매하고,판매하고
·,·
이용하는,이용하는
220mg,220mg
강남구,강남구
1일,1일
섭취하,섭취하
의약품이,의약품이
주의하십시오.,주의하십시오.
감소될,감소될
식물에서,식물에서
"mg,","mg,"
정당한,정당한
입력하시면,입력하시면
제조원,제조원
본,본
/,/
·,·
·,·
양화로,양화로
/,/
%영양성분,%영양성분
섭취하십시오.,섭취하십시오.
건강,건강
에이스(,에이스(
:,:
/,/
식사,식사
이는,이는
"염산염,","염산염,"
10%),10%)
드십시오.,드십시오.
"돼지고기,","돼지고기,"
함량,함량
잣을,잣을
변색될,변색될
열량,열량
국내에서,국내에서
60캡슐),60캡슐)
이,이
오메가3,오메가3
크릴오일,크릴오일
71%,71%
0%,0%
프로폴리스,프로폴리스
곳에,곳에
※,※
바랍니다.,바랍니다.
수,수
/,/
"특이체질,","특이체질,"
항산화에,항산화에
1회,1회
요미젤리,요미젤리
X,X
개인에,개인에
에너지,에너지
마장면,마장면
섭취방법,섭취방법
"쇠고기,","쇠고기,"
:,:
공정거래위원회,공정거래위원회
정보를,정보를
"석류향,","석류향,"
>,>
상담하시기,상담하시기
:,:
1일,1일
본,본
"밀,","밀,"
상담실】,상담실】
알레르기가,알레르기가
01,01
보관하십시오.,보관하십시오.
교환,교환
및,및
500mg,500mg
240g,240g
중단하,중단하
안국,안국
(69g),(69g)
>,>
전문가와,전문가와
[소비자상,[소비자상
"블루베리100%),","블루베리100%),"
서울,서울
수,수
(주)한미양행,(주)한미양행
1회,1회
예방,예방
[건강,[건강
+,+
이용되는,이용되는
2001,2001
여정,여정
질환이,질환이
원료를,원료를
경과한,경과한
탄수화물,탄수화물
/,/
브라질,브라질
"이산화규소,","이산화규소,"
1일,1일
NE,NE
(성수동2가),(성수동2가)
"S,","S,"
갱년기,갱년기
:,:
수유부나,수유부나
이유,이유
알레르기,알레르기
탄수화물,탄수화물
"케르세틴,","케르세틴,"
반드시,반드시
"국산),","국산),"
확인하여,확인하여
+,+
1포(1.5g),1포(1.5g)
품목보고번호,품목보고번호
로필렌),로필렌)
있습니,있습니
지하여,지하여
주의하십시오.,주의하십시오.
(감미료),(감미료)
3),3)
※,※
도움을,도움을
이상사례,이상사례
생명,생명
이상이,이상이
"D-소비톨액,","D-소비톨액,"
DHA,DHA
번호,번호
에너지,에너지
"젤라틴(우피),","젤라틴(우피),"
"2회,","2회,"
주의사항,주의사항
※,※
함께,함께
"조개류(굴,","조개류(굴,"
"잎추출물,","잎추출물,"
이동,이동
의사와,의사와
본,본
제품은,제품은
본,본
1g,1g
변화에,변화에
홍합,홍합
파우더,파우더
다른,다른
소,소
59%,59%
BHT,BHT
하나는,하나는
수,수
따라,따라
보관,보관
아닌,아닌
식품의약품안전처,식품의약품안전처
SOURCE,SOURCE
:,:
확인,확인
개월(소비자는,개월(소비자는
"글루타민,","글루타민,"
유통기한,유통기한
※,※
기능식품,기능식품
않아,않아
근거,근거
제품은,제품은
:,:
"토마토,","토마토,"
제품과,제품과
유산균의,유산균의
[권장섭취량,[권장섭취량
노량진로,노량진로
성분을,성분을
항산화에,항산화에
사용,사용
위해,위해
B12,B12
나타,나타
이용되는데,이용되는데
올댓다이어트,올댓다이어트
필요.,필요.
※,※
원료나,원료나
닿지,닿지
상처를,상처를
피하여,피하여
교환할,교환할
그대로,그대로
및,및
습기가,습기가
에,에
100%,100%
■,■
비율,비율
발생,발생
"대두레시틴,","대두레시틴,"
제조번호,제조번호
애터미(주),애터미(주)
청원구,청원구
"국산),","국산),"
"1g(0%),","1g(0%),"
"토마토,","토마토,"
쎈,쎈
과민반응이,과민반응이
습기와,습기와
돼,돼
섭취량,섭취량
1일,1일
"프로폴리스추출물,","프로폴리스추출물,"
"돼지고기,","돼지고기,"
고,고
건강,건강
연구단지로,연구단지로
"L-카르니틴,","L-카르니틴,"
※,※
시,시
있으면,있으면
:,:
VitaminC,VitaminC
편안한,편안한
:,:
기능식품의,기능식품의
함유,함유
은,은
따라,따라
실온에,실온에
2,2
"칼슘,","칼슘,"
시,시
그린,그린
어두운,어두운
유지],유지]
제품,제품
및,및
"비타민D,","비타민D,"
본,본
이상사례,이상사례
·,·
"비타민B1염산염,","비타민B1염산염,"
GMP,GMP
품은,품은
바로,바로
제품,제품
경,경
X,X
열량,열량
열량,열량
필요,필요
"피하고,","피하고,"
"전복,","전복,"
B,B
줄,줄
판토텐산,판토텐산
"특성(고단백,","특성(고단백,"
1),1)
형성과,형성과
변질,변질
섭취를,섭취를
품이,품이
제조시설에서,제조시설에서
재활용,재활용
1일,1일
닿지,닿지
˙,˙
1888번길,1888번길
805915,805915
보상,보상
:,:
:,:
805915,805915
예방,예방
섭취하십시오.,섭취하십시오.
니다.,니다.
있습니다.,있습니다.
하와이안,하와이안
및,및
(1포,(1포
반응,반응
않는,않는
이력추적,이력추적
두시면,두시면
:,:
시,시
88,88
아니하,아니하
뭉침이,뭉침이
건조한,건조한
예방,예방
원료,원료
흡습되지,흡습되지
유통기한,유통기한
보관하십시오.,보관하십시오.
외포장재,외포장재
확인하신,확인하신
"호두,","호두,"
산단길,산단길
입을,입을
"(대추,","(대추,"
변할,변할
는데,는데
있으니,있으니
통풍이,통풍이
X,X
※,※
2.55mg,2.55mg
열량,열량
및,및
earth,earth
적고,적고
총,총
있음,있음
함께,함께
하시길,하시길
서늘한,서늘한
35%,35%
및,및
설에서,설에서
14포),14포)
114595,114595
함유,함유
소비자상담실로,소비자상담실로
제품,제품
깨,깨
전문가와,전문가와
"밀크씨슬추출물,","밀크씨슬추출물,"
"7.51mg(501%),","7.51mg(501%),"
품질관리를,품질관리를
"산,","산,"
20001,20001
주의사항,주의사항
건조한,건조한
서울특별시,서울특별시
프롤린,프롤린
원료를,원료를
용기에,용기에
※,※
세르비아,세르비아
"α-아밀라아제,","α-아밀라아제,"
당,당
신고는,신고는
:,:
수유부,수유부
:,:
"닭고기,","닭고기,"
수,수
백질,백질
주의사항,주의사항
감소에,감소에
포장재질(내면),포장재질(내면)
감소에,감소에
0g,0g
비타민E,비타민E
[섭취량,[섭취량
당,당
"0mg(0%),","0mg(0%),"
유산균,유산균
의약품,의약품
Made,Made
시,시
3,3
모두,모두
5.1%,5.1%
세포를,세포를
대한,대한
않도록,않도록
유지하는데,유지하는데
:,:
5mg,5mg
있는,있는
상담하십시오.,상담하십시오.
[판토텐산],[판토텐산]
1g,1g
·,·
설명서를,설명서를
개선,개선
200mg,200mg
"L.helveticus,","L.helveticus,"
캡슐),캡슐)
등은,등은
"므로,","므로,"
"잣,","잣,"
/,/
철,철
"위통,","위통,"
"109,","109,"
참조,참조
알레르기,알레르기
300mg,300mg
기한,기한
93mg,93mg
물과,물과
개발,개발
열량,열량
"자일리톨,","자일리톨,"
드립니다.,드립니다.
"mg(83%),","mg(83%),"
"비오틴,","비오틴,"
1일,1일
:,:
곳과,곳과
민E,민E
대두,대두
0mg,0mg
비타민,비타민
유한,유한
뼈의,뼈의
※,※
·,·
"포함),","포함),"
충남,충남
섭취방법,섭취방법
[유통기한],[유통기한]
직사광선을,직사광선을
제품은,제품은
비타민D,비타민D
필요,필요
1일,1일
성분을,성분을
GMP,GMP
"비타민C,","비타민C,"
수,수
1회,1회
걸친,걸친
"아라비아검,","아라비아검,"
:,:
및,및
"용기(페트),","용기(페트),"
보관,보관
및,및
·,·
예방,예방
"0mg(0%),","0mg(0%),"
유통기한,유통기한
눈을,눈을
대전광역시,대전광역시
가공한,가공한
※,※
않도록,않도록
·,·
제조번호,제조번호
DHA,DHA
기준치,기준치
"결명자추출물분말,","결명자추출물분말,"
80,80
오송생명로,오송생명로
X,X
에,에
충청,충청
함량,함량
및,및
않는,않는
"필요,","필요,"
"쇠고기,","쇠고기,"
:,:
무첨가,무첨가
"새우,","새우,"
닿지,닿지
있는,있는
정상적인,정상적인
있으니,있으니
대한,대한
홍합,홍합
믹스,믹스
1일,1일
제품설명서를,제품설명서를
해결기준에,해결기준에
어린이가,어린이가
1회,1회
엽산,엽산
B/D,B/D
아연,아연
/,/
검정이,검정이
:,:
의약품,의약품
제품명,제품명
하여,하여
1회,1회
시,시
로즈,로즈
피하여,피하여
있거나,있거나
및,및
씹어서,씹어서
크릴,크릴
YOGURT,YOGURT
개봉,개봉
100,100
판매원,판매원
"변성전분,","변성전분,"
"0g(0%),","0g(0%),"
보관,보관
DB손해보험,DB손해보험
용기,용기
·,·
:,:
"혼합유산균,","혼합유산균,"
시,시
및,및
개봉,개봉
함유,함유
비타민D],비타민D]
※,※
들은,들은
경우에는,경우에는
함부로,함부로
테헤란로,테헤란로
까지,까지
[제조번호],[제조번호]
눈,눈
및,및
시,시
제조하고,제조하고
제품은,제품은
제조하였습니다.,제조하였습니다.
/,/
전문가와,전문가와
및,및
약물,약물
혈액응고에,혈액응고에
까지,까지
작용,작용
생길,생길
의해,의해
서울시,서울시
칼슘,칼슘
"닭고기,","닭고기,"
0%,0%
어린,어린
※,※
"1회,","1회,"
8,8
"리드(PET),","리드(PET),"
구입,구입
"우유,","우유,"
·,·
습니다.,습니다.
1캡슐을,1캡슐을
earth,earth
하단에,하단에
골다공증발생,골다공증발생
"J.,","J.,"
(주),(주)
416호,416호
1일,1일
있습니다.,있습니다.
"단백질,","단백질,"
809145,809145
신고는,신고는
"니틴,","니틴,"
필요,필요
수,수
식품의거품안전처,식품의거품안전처
·,·
20139182,20139182
오창읍,오창읍
제조원,제조원
:,:
"밀,","밀,"
대두유{외국산,대두유{외국산
진세노사이드,진세노사이드
0g,0g
타서,타서
맛있는,맛있는
위해,위해
또는,또는
서울시,서울시
황반색소밀도를,황반색소밀도를
있습니다.,있습니다.
도움을,도움을
까지,까지
전,전
"0g(0%),","0g(0%),"
·,·
중단,중단
NATURAL,NATURAL
본,본
도움을,도움을
Royal,Royal
총,총
"제조라인,","제조라인,"
"염화칼륨,","염화칼륨,"
분사)를,분사)를
하나미,하나미
발달에,발달에
혈중,혈중
"포함),","포함),"
당진시,당진시
"Bay,","Bay,"
기능정보,기능정보
48㎍],48㎍]
본,본
-,-
피하십시오.,피하십시오.
유용한,유용한
섭취방법,섭취방법
시,시
제품과,제품과
과민반응이,과민반응이
"새우,","새우,"
Best,Best
"새우,","새우,"
부작용,부작용
건강에,건강에
혈액,혈액
보관,보관
실온에서,실온에서
및,및
바오밥나무열매파,바오밥나무열매파
"난류(가금류),","난류(가금류),"
0%,0%
"조개류(굴,","조개류(굴,"
30포),30포)
MSM,MSM
"로덱스트린,","로덱스트린,"
·,·
1일,1일
이상사례,이상사례
함유한,함유한
·,·
함량,함량
및,및
"수유부,","수유부,"
Argan,Argan
유리체,유리체
·,·
"호두,","호두,"
제품,제품
2캡슐,2캡슐
30,30
및,및
섭취를,섭취를
아티,아티
health,health
통해서,통해서
(주)휴럼,(주)휴럼
칼슘,칼슘
안산시,안산시
"RE(40%),","RE(40%),"
대한,대한
"색제3호,","색제3호,"
키오스,키오스
※,※
걸,걸
슐을,슐을
형성,형성
입력하시면,입력하시면
D-소비톨액,D-소비톨액
프리바이오플,프리바이오플
·,·
X,X
성분,성분
5),5)
X,X
1일,1일
1,1
식후에,식후에
혈행,혈행
Lactobacillus,Lactobacillus
1399,1399
"8.5mg(100%),","8.5mg(100%),"
:,:
"헝가리,","헝가리,"
섭취하십시오.,섭취하십시오.
입력하시면,입력하시면
AE,AE
제조원,제조원
마시기,마시기
5g,5g
·,·
:,:
받을,받을
박사,박사
단백질,단백질
+,+
1일,1일
시,시
빼고,빼고
"아황산류,","아황산류,"
Family,Family
이천시,이천시
※,※
강하제,강하제
루테인,루테인
제조시설에서,제조시설에서
성분이므로,성분이므로
인이,인이
시,시
하단에,하단에
2488,2488
B,B
항산화에,항산화에
피쉬콜라겐,피쉬콜라겐
"가금류),","가금류),"
사용하여,사용하여
기준!,기준!
경우,경우
도움을,도움을
【섭취량,【섭취량
"게,","게,"
비타민과,비타민과
직사광선을,직사광선을
"1회,","1회,"
충남,충남
주의하십시오.,주의하십시오.
섭취,섭취
유지],유지]
지방,지방
정관장,정관장
"메밀,","메밀,"
우려,우려
직사광선을,직사광선을
수,수
0.03g,0.03g
주의사항을,주의사항을
문의,문의
:,:
누구나,누구나
시,시
문제가,문제가
·,·
주의사항,주의사항
제품은,제품은
알레르기,알레르기
비타민,비타민
섭취하십시오.,섭취하십시오.
"감초,","감초,"
공정거래위원회,공정거래위원회
상,상
개봉,개봉
"식용유지혼합분말,","식용유지혼합분말,"
:,:
제품은,제품은
면역기능개선,면역기능개선
위한,위한
[내용량],[내용량]
1일,1일
보호하,보호하
칼슘,칼슘
특정원료에,특정원료에
있음.,있음.
:,:
1일,1일
"품(항응고제,","품(항응고제,"
안,안
0.5g,0.5g
보충용,보충용
번호를,번호를
아연,아연
8,8
700mg,700mg
수,수
화성시,화성시
제품은,제품은
X,X
봉은사로,봉은사로
비율,비율
함께,함께
또는,또는
과일혼합,과일혼합
1577-2488,1577-2488
1일,1일
비타민,비타민
{카민(,{카민(
"대나무잎(국산),","대나무잎(국산),"
자몽농축액,자몽농축액
등록번호,등록번호
※,※
컨트롤,컨트롤
()안의,()안의
줄,줄
판토텐산,판토텐산
있습니다.,있습니다.
1일,1일
:,:
"징어,","징어,"
/,/
공장,공장
+,+
안국,안국
식품유형,식품유형
섭취량,섭취량
대한,대한
파인애플향(,파인애플향(
미네랄15,미네랄15
고객상,고객상
금하십시오.,금하십시오.
테헤란로,테헤란로
도움을,도움을
및,및
및,및
서울시,서울시
211027>,211027>
X,X
"메밀,","메밀,"
판매원,판매원
"국산,","국산,"
이상,이상
100,100
하시기,하시기
단백질,단백질
"해바라기유,","해바라기유,"
30,30
RELEASE,RELEASE
같은,같은
충분한,충분한
단백질,단백질
제품은,제품은
고객상담실,고객상담실
본,본
공정거래위원회,공정거래위원회
비율임.,비율임.
않는,않는
이력,이력
반응이,반응이
[보관방법],[보관방법]
즉,즉
성장,성장
수준을,수준을
응고에,응고에
다칠,다칠
도움을,도움을
"고등어,","고등어,"
수,수
"(0%),","(0%),"
[원료명,[원료명
적고,적고
1일,1일
시스템을,시스템을
불량식품,불량식품
1회,1회
이상이,이상이
눈,눈
15mg,15mg
복용,복용
인해,인해
기능정보,기능정보
"알류,","알류,"
"아라비아검,","아라비아검,"
넣지,넣지
있습니다.,있습니다.
reuteri분말(프,reuteri분말(프
파주시,파주시
:,:
프로폴리스,프로폴리스
1포(10mL),1포(10mL)
SAFE,SAFE
2022.10.23,2022.10.23
■,■
대한,대한
제조번호,제조번호
:,:
상담하십시오.,상담하십시오.
주의사항,주의사항
유해균,유해균
·,·
4.,4.
1일,1일
후,후
"조개류(굴,","조개류(굴,"
2정을,2정을
"acidophilus,","acidophilus,"
까지,까지
배합비율,배합비율
또는,또는
상담,상담
이력추적,이력추적
및,및
"출물,","출물,"
비타민B6,비타민B6
"류향,","류향,"
동의빌딩),동의빌딩)
체내,체내
X,X
확인하실,확인하실
"조개류(홍합),","조개류(홍합),"
또는,또는
기능식품,기능식품
기능식품,기능식품
일산서구,일산서구
수,수
건강에,건강에
"1회,","1회,"
2477,2477
성분을,성분을
:,:
"스,","스,"
0%,0%
문의,문의
8층,8층
유익균,유익균
●,●
유용한,유용한
정상적인,정상적인
비타민A,비타민A
보관,보관
"필요,","필요,"
마도면,마도면
가공한,가공한
15,15
"오징어,","오징어,"
이력추적,이력추적
후에는,후에는
˙,˙
롯데쇼핑(주)/,롯데쇼핑(주)/
중심부로,중심부로
"쇠고기,","쇠고기,"
수,수
(PE),(PE)
1일,1일
"판토텐산,","판토텐산,"
경우에는,경우에는
"(말토덱스트린,","(말토덱스트린,"
세포분열에,세포분열에
포스파티딜세린,포스파티딜세린
수,수
"땅콩,","땅콩,"
5,5
탄수화물과,탄수화물과
까지,까지
물과,물과
준수하시기,준수하시기
손,손
1일,1일
잣을,잣을
625mg,625mg
퓨어비타민C,퓨어비타민C
50mL,50mL
4㎍(160IU),4㎍(160IU)
"엽산,","엽산,"
섭취,섭취
전체,전체
병,병
※,※
중단하고,중단하고
시어버터나무유,시어버터나무유
피하여,피하여
·,·
제품은,제품은
레르기,레르기
단백질,단백질
프로바이오틱스,프로바이오틱스
직사광선을,직사광선을
나이아신,나이아신
·,·
소화불량의,소화불량의
흥덕구,흥덕구
개봉,개봉
비타민K,비타민K
바코드,바코드
및,및
피하여,피하여
삼원빌딩,삼원빌딩
니다.,니다.
이상사례,이상사례
·,·
는,는
서늘한,서늘한
섭취.,섭취.
장건강을,장건강을
영양,영양
"(1,520mg)","(1,520mg)"
주의하시기,주의하시기
·,·
·,·
혈당,혈당
중단,중단
기능성을,기능성을
락토바실러스,락토바실러스
데워서,데워서
밀봉하여,밀봉하여
열에,열에
세포,세포
함량,함량
586,586
섭취하십시오.,섭취하십시오.
사항은,사항은
"땅콩,","땅콩,"
비율임,비율임
기능정보,기능정보
[섭취,[섭취
D,D
"임산부,","임산부,"
세포분열에,세포분열에
·,·
영양성분,영양성분
EPA,EPA
영양성분,영양성분
0.42,0.42
건강기능식품,건강기능식품
면역기능에,면역기능에
2층),2층)
사례,사례
"비타민B6,","비타민B6,"
상태에,상태에
